city,h9,h8,h7,h6,h5,h4,h3,h2,h1
ANK,1.504334764964089,1.5815052078100134,1.3776842299791072,1.2740633582212724,1.0883209434134093,0.912501193375515,0.7918292742963698,0.6132918982129134,0.40533414739510193
ATL,1.5369962282214067,1.355516891360642,1.2865873779914112,1.149955008202359,1.0663556453840022,0.9284398321950126,0.7526937967181394,0.5338386933415556,0.40404976408842314
BUE,1.645999489570402,1.4749481893343572,1.3204969339360033,1.144984089335102,1.0180696623252572,0.8826442901041129,0.7161612495802836,0.5715099417947627,0.39254784267788906
CHI,1.7634302147477185,1.7259486281812342,1.5804895724107182,1.4092587048153091,1.2618742095556101,1.1013773672045137,0.8364356795584024,0.6680708656853559,0.48310362059580414
DAL,1.4149038768758493,1.3293954167827005,1.2062315351247017,1.141567817618438,1.056464397292018,0.8811814662751212,0.657907675859004,0.5455529552386013,0.3577522632182962
LON,1.431734839338952,1.383373671615067,1.2735151759539853,1.141071010995253,0.9934900455038016,0.8867935251378046,0.7103553328372748,0.5373343355801468,0.3762118654995359
MIA,0.9206967464144393,0.9089944514168287,0.9371801234829524,0.853080193965299,0.8626740805804742,0.7021980447358751,0.61845347132922,0.483661166213855,0.33383646416926865
NYC,1.5838055892140601,1.5689075261709786,1.4767520938698226,1.3359442280553098,1.2053081845782627,1.0148987190984193,0.7983247143624922,0.6438080755302613,0.4443152959317688
PAR,1.5261137862509992,1.4713379349611473,1.4118703824992047,1.2398981747394309,1.1045195423904983,0.9668262746329135,0.8041079330951308,0.6790445507067008,0.5206302087415999
SEA,1.134635585520104,1.0216673577216655,0.9881901968262594,0.9147100337164964,0.854166472003743,0.737456476827023,0.5942296118245602,0.49741474651186063,0.32234295614428726
SEL,0.6881453250323106,0.6756192453254273,0.6675034280361087,1.2698731898719813,1.215637897189904,1.0483831378205601,0.8773218012443825,0.7120081623143837,0.48362043038732
TOR,1.6141127973061156,1.5595805833802256,1.330293640218081,1.1514377561876017,1.0088922634903255,0.860865348191046,0.7597333515608935,0.6299476477328949,0.4679173952758408
WLG,0.6393419333620141,0.6057316134669525,0.550642501261799,0.5699162455056924,0.5294368453761179,0.4364815894026274,0.30000379708356123,0.8089110939548738,0.7459192024759536
