city,h9,h8,h7,h6,h5,h4,h3,h2,h1
ANK,0.0027013171157141934,0.038565644090575245,-0.1662069864961833,0.32620085145662164,0.30581041595563435,-0.1797216384370811,0.2029183968067658,0.15945182054084897,0.03194081914322667
ATL,-0.06869085212766267,0.11367480460668238,0.37219704997663106,0.3148121079022741,0.36752050198094616,0.37174981133554713,0.3164621850363625,0.24260845214766566,0.11848907865774264
BUE,-0.39762647351172403,-0.16831537326818402,0.009554567605180501,0.11387711069278382,0.10355815005537082,0.14955122636694052,0.14371614965252114,0.06846915985137988,0.018054697911048977
CHI,0.06715683022949205,0.11771976137124017,0.3256719389792858,0.3223817333061637,0.47290901382376643,0.40297189271052575,0.22461420195494883,0.12476541963831253,0.026904138892925818
DAL,0.22429533053064166,0.3306897342356337,0.5212115265034167,0.5236609638075891,0.5580489683940018,0.546936394947803,0.35334680665156315,0.2485040282024069,0.12536648477733467
LON,-0.27128680431189417,-0.20023360321495692,-0.15860864793428361,-0.05260197325523348,-0.0002366993348979178,-0.004732577696988594,0.009891108705885342,-0.008484667074630367,-0.014047421653538242
MIA,0.012690095337937767,0.12630144198143392,0.2712849372990854,0.3064184725340491,0.3757413380955372,0.2730202277718594,0.24628093607283605,0.16635979951002752,0.04857000032011491
NYC,0.23691735041687315,0.41044607847782405,0.4336635304735731,0.37606480606544,0.33351504199135507,0.3087367373368417,0.20908960244001804,0.08119317172311015,0.07460309867594918
PAR,0.21565341333779753,0.08963048850655106,0.004065499523668067,-0.08653143858677369,-0.1317139623328142,-0.08196117738520672,-0.09732551930531044,-0.07649604949135042,-0.03507841286949887
SEA,0.0631023228234495,0.12863163075566728,0.18480664465611912,0.19936808568544884,0.2828066546716145,0.2778906084710261,0.19572994147048822,0.10665712879630683,0.03264176686342093
SEL,0.009366784833149714,0.02192916451643809,0.018894887809521314,0.05980742161902092,0.10500748119004859,0.021240081858745822,0.004531160202184828,0.05231253615495524,0.06109332246119021
TOR,0.21763558808618408,0.202124377841949,0.17831454376989667,0.11408914929036061,0.0807096660602561,0.04127242650483893,0.00888549528918574,-0.058760233386187216,-0.059318425951167215
WLG,0.04009789377487344,0.02825047100397436,0.03491398309990427,0.08715533957037874,0.05010580083907566,0.03749614190392745,0.024584258206914827,0.011655051960427638,0.029552862855000774
