pred_remaining_heat_mean,remaining_heat,horizon_bucket,city
2.3439566690594154,3.1999999999999993,h3,LON
10.02437442297566,14.0,h9,CHI
1.9007641529806907,0.9000000000000021,h4,MIA
2.2478404060938058,1.4000000000000004,h7,LON
1.7184734851411998,0.0,h4,MIA
5.591102411961696,4.399999999999999,h7,ATL
7.309653978989993,7.0,h7,PAR
0.5790570006234446,0.0,h1,SEL
3.454697201096234,4.0,h4,WLG
3.0608156679514122,2.9,h3,LON
4.574468869823973,1.5999999999999979,h6,NYC
3.987333134050587,3.6,h5,TOR
6.459247729586954,6.0,h7,SEL
0.6801229168500722,1.0,h2,SEL
4.67237930932504,6.099999999999998,h6,DAL
6.112006251685789,4.5,h7,SEA
5.455656022067098,4.0,h8,PAR
4.708476517830058,4.6,h6,TOR
3.6237033746900478,4.0,h7,ANK
10.699892617943771,12.200000000000001,h8,DAL
1.409300577359077,3.3999999999999986,h3,MIA
2.141982879953273,1.1999999999999993,h6,SEA
5.8714006826191785,10.0,h6,SEL
9.668368828891543,12.0,h8,BUE
5.6987724891700156,5.0,h3,MIA
3.4410093773169743,3.0,h5,SEL
1.3919792718309048,1.0,h1,DAL
0.7713155371301991,1.1999999999999993,h3,TOR
6.20874022741258,6.200000000000003,h8,TOR
1.5675106992709806,1.6999999999999993,h3,LON
2.129778025408015,2.0,h4,BUE
15.608824509413054,15.0,h7,DAL
3.1160542257336656,1.9000000000000004,h4,BUE
4.815648676113684,6.0,h7,WLG
1.4755392798377183,1.2999999999999998,h3,LON
6.502654672181267,7.199999999999999,h6,DAL
16.985640472182734,18.0,h9,ANK
4.770140595233536,3.0,h6,SEA
1.100366223078918,0.40000000000000036,h2,BUE
2.31463102642284,2.799999999999999,h9,LON
1.3089583416287256,2.0,h2,PAR
1.1652869585628867,2.1999999999999993,h2,NYC
3.8993768558371023,4.0,h6,SEL
9.080107184939305,9.9,h7,ATL
2.2971126960582353,1.0,h6,MIA
1.310991581004361,1.0999999999999979,h2,NYC
1.8711120356682842,3.299999999999997,h4,MIA
5.681520663398571,6.699999999999999,h7,NYC
0.5354403211623404,0.0,h1,ATL
6.50570201113741,6.699999999999996,h8,MIA
7.200957282252845,4.300000000000001,h9,TOR
3.330555198924203,1.1999999999999993,h9,SEA
0.5799272719613461,0.0,h1,ANK
5.286694722870818,3.0,h6,MIA
1.0571590594030262,2.5999999999999996,h2,SEL
0.3986241926385917,0.0,h1,WLG
0.26828022325632506,0.0,h1,MIA
4.6308649267610695,4.0,h6,NYC
0.4413187816817907,0.0,h1,ATL
9.227894530122207,8.600000000000001,h8,BUE
1.6845957115758519,2.0,h4,SEL
1.5247382251879522,1.1000000000000014,h3,ATL
7.046094442771324,7.600000000000001,h7,ATL
4.808237489123685,3.6000000000000014,h5,BUE
5.7340189807003705,6.200000000000003,h7,CHI
0.9237889986791863,0.6999999999999993,h1,LON
0.5254882521086683,0.0,h1,CHI
7.319165386838629,8.0,h9,SEL
2.3885928092104436,1.0,h9,SEL
1.2301961302417892,1.0,h4,WLG
2.1656019650932503,1.4000000000000004,h8,LON
8.158600544259727,5.2,h9,NYC
3.2399969148366026,3.299999999999997,h3,DAL
5.085601857211515,9.0,h9,ANK
1.2369389095112473,0.0,h2,DAL
5.975693276643976,6.099999999999998,h3,ATL
11.83027424821145,11.5,h9,BUE
4.929377872005322,4.0,h7,WLG
0.7220501904851141,0.0,h1,TOR
8.860788724686193,8.0,h9,DAL
5.7467533445094725,7.0,h8,PAR
3.9848193215030756,3.1000000000000014,h5,TOR
3.3864867231182956,3.1000000000000014,h8,LON
3.6475756285065266,3.0,h5,MIA
2.6766748626150263,4.0,h4,BUE
5.057662969411476,7.0,h5,ATL
3.480745213713441,5.0,h7,CHI
1.7478634894141802,2.0,h3,ANK
1.9804856581679242,0.0,h3,ATL
2.8718907494576684,6.6000000000000005,h8,LON
1.2566024675118492,1.0,h2,CHI
4.482607793210597,5.0,h7,MIA
0.5663212374542212,1.0,h2,WLG
5.32905154871204,6.0,h7,PAR
1.2310813004650076,1.0,h2,MIA
5.107889138795954,6.4,h6,TOR
2.979372316563947,2.0,h5,DAL
5.798568660841554,6.600000000000001,h7,TOR
3.221628358930818,3.0,h5,WLG
0.9686432939927135,0.0,h2,WLG
17.457860650221495,18.0,h9,ANK
4.338416915829001,3.0,h6,PAR
1.9552918650989284,2.0,h2,CHI
0.6018610521364947,0.0,h2,LON
0.2936207083943172,0.0,h1,BUE
0.7625410915672927,0.8999999999999986,h2,LON
2.833737336842848,2.0,h4,ATL
3.5463428502293364,1.0,h6,NYC
9.879766662942291,10.0,h7,ATL
5.082151077368679,6.8,h9,TOR
6.044540840386344,5.0,h9,SEA
6.962542259717292,6.600000000000001,h9,TOR
8.411710878188128,8.2,h7,BUE
4.051543504515763,5.0,h4,WLG
6.9223963218456745,3.0,h9,ANK
8.706791055424128,9.0,h9,PAR
0.4383149144547478,0.0,h2,SEL
3.5920292896104207,3.500000000000001,h5,SEA
0.43241178607114295,1.3000000000000007,h1,CHI
5.317081484132884,5.0,h9,CHI
