horizon_bucket,rows,within_0p5,within_1p0
h9,4732,0.28465765004226545,0.5065511411665258
h8,4732,0.2874049027895182,0.5169061707523246
h7,4732,0.31191885038038886,0.5488165680473372
h6,4731,0.3096596913971676,0.5622489959839357
h5,4731,0.3369266539843585,0.5943775100401606
h4,4738,0.38307302659349934,0.6650485436893204
h3,4731,0.45318114563517226,0.7467765800042274
h2,4730,0.48583509513742074,0.8389006342494715
h1,4742,0.7201602699283003,0.9325179249261915
