feature,importance_mean,importance_std,horizon_bucket
delta_temp_24h,0.011031730839072162,0.0,h8
temp,0.01032436566989503,0.0,h8
wpgt,0.007846420354455264,0.0,h8
temp_lag_2h,0.007842103485913965,0.0,h8
delta_temp_23h,0.0075210112081491864,0.0,h8
delta_temp_2h,0.007313787306280739,0.0,h8
temp_lag_15h,0.00646721371834813,0.0,h8
delta_temp_17h,0.005833610611155171,0.0,h8
delta_temp_20h,0.005423327087961338,0.0,h8
delta_temp_16h,0.004353012104368226,0.0,h8
temp_lag_23h,0.0035441903267210417,0.0,h8
temp_lag_3h,0.0034947999695715826,0.0,h8
delta_cldc_6h,0.0028631204433609003,0.0,h8
delta_cldc_1h,0.0025598163717130973,0.0,h8
hours_from_solar_peak,0.0024024689003780964,0.0,h8
temp_lag_22h,0.0020875026076692116,0.0,h8
delta_pres_1h,0.0020835548192132958,0.0,h8
temp_lag_19h,0.0020591964983627253,0.0,h8
temp_lag_16h,0.001925954010603359,0.0,h8
delta_temp_4h,0.0019056896488460762,0.0,h8
delta_temp_19h,0.0018798556655938992,0.0,h8
yesterday_max_temp,0.0018525346201692106,0.0,h8
solar_heating_efficiency,0.0018322450134045098,0.0,h8
temp_lag_21h,0.0017571480549682938,0.0,h8
delta_temp_6h,0.0017092689720548115,0.0,h8
delta_temp_22h,0.0016714970379869687,0.0,h8
temp_lag_14h,0.0014190693415789823,0.0,h8
temp_roll_mean_3h,0.0013594363825490952,0.0,h8
delta_pres_3h,0.0012264961615076064,0.0,h8
delta_temp_9h,0.0011907722653159425,0.0,h8
temp_lag_1h,0.0008493501069397613,0.0,h8
rain_24h_sum,0.0008252532197174922,0.0,h8
rain_3h_sum,0.0007283909240383135,0.0,h8
delta_temp_21h,0.0007246168217720506,0.0,h8
delta_temp_3h,0.0007191798741217337,0.0,h8
delta_temp_5h,0.0006351585180055519,0.0,h8
temp_lag_18h,0.0006049194790715973,0.0,h8
temp_lag_9h,0.00044549844898789104,0.0,h8
