city,n_days,mean_peak_offset_hours,median_peak_offset_hours,std_peak_offset_hours,p10_peak_offset_hours,p90_peak_offset_hours,mean_peak_hour_local,median_peak_hour_local,mean_solar_noon_hour_local,median_solar_noon_hour_local
ANK,7354,2.1460264403169917,2.423936019685278,2.3945217419936142,0.1315094942711111,4.182937669049473,14.9475115583356,15.0,12.801485118018723,12.811748861502355
ATL,6845,2.887217998980647,3.2617096854,2.1922326958660254,1.2630494471745002,4.605476376879167,15.514974433893352,16.0,12.627756434912824,12.638456010804697
BUE,7222,1.993812449822955,2.158502455924167,2.3318593236437843,0.12894229163622223,3.9699895019181675,14.897535308778732,15.0,12.903722858955899,12.914350396284878
CHI,6476,2.476815381752747,2.997257207542639,3.0157550849106194,0.06827300665416666,5.201011081608055,14.338943792464484,15.0,11.86212841071185,11.873142961788368
DAL,4805,3.278856605572928,3.4631853162641666,1.9439199134247085,1.561277712331111,5.317206196282778,15.733402705515088,16.0,12.454546099942272,12.465734916965468
LON,7740,2.4006310838420197,2.862775057331111,3.610353652187986,-0.11410109085694443,5.061383012122613,14.432428940568476,15.0,12.031797856726577,12.041933016683569
MIA,7484,1.06777119523164,0.9153592978311111,1.8457830091065932,-0.58956559826,2.91667111034,13.4206306787814,13.0,12.352859483549892,12.363948822519564
NYC,6471,2.7769989518543983,3.087422334089166,3.311490586162959,0.13708382816916667,6.021613494344167,14.701900788131665,15.0,11.924901836277385,11.936576756922783
PAR,7630,2.2361610082461416,3.0990024476211113,4.168175264107328,-0.021142389327777778,5.224472979950001,15.067758846657929,16.0,12.831597838411904,12.841952626886034
SEA,6129,2.621656516372964,2.9449631228741664,2.529335356137142,0.61269973314,4.821328009409166,14.776472507750041,15.0,12.154815991377184,12.16499502581613
SEL,7619,0.4236074442101761,0.6682639559580555,2.7999786000587723,-2.3001378858189443,2.6423896179722224,12.99606247539047,13.0,12.572455031180414,12.584053065448165
TOR,6232,2.2617130314870173,2.660463493437222,3.2742032983060296,-0.34360995884194445,5.479360139225112,14.57188703465982,15.0,12.310174003172921,12.321299549552805
WLG,6493,-0.5650122216455791,-0.3907872113158334,3.2930887918194327,-2.436714525067111,2.625375274787778,11.78422916987525,12.0,12.349241391520941,12.36043340077721
